"activity_goals_outcomes","activity_name","activity_type","attended_people","budget","company_name","description","end_date","feedback_mechanism","frequency_of_recurrence","id","is_recurring","key_partners_sponsors","location","number_of_participants_expected","resources_needed_provided","rsvpd_list","start_date","success_metrics","target_audience"
"Say walk why animal old against decision stop reveal specific trial bring certain.","Polarized multi-state groupware","Recruitment","CP-2024-CHAC, WG-2024-JQEA","","Hanson, Lara and Pratt","White bit any new family price affect than rise thousand industry continue region science military.","2025-01-04T17:23:28.746224","Feedback Form","Annually","ACT-1734434608-8E72I7","True","","Virtual (Online)","233","Training materials, Equipment, Refreshments","SL-2024-DERE, JA-2024-5MRU, KZ-2024-51IS, BJ-2024-W9X3, MB-2024-QBCP, JC-2024-MNNZ, CP-2024-CHAC, MM-2024-I2GZ, ML-2024-SVVG, WG-2024-JQEA","2024-12-30T17:23:28.746224","Number of participants, Engagement levels","Employees"
"Series interesting grow turn officer purpose them thing itself father game production head.","Focused client-server ability","Community Outreach","SG-2024-FHUX, JC-2024-MNNZ, ST-2024-OT6G, MD-2024-HSSU, JS-2024-IPM9, SC-2024-SA2J, KF-2024-UPLH, KK-2024-FFT6, LP-2024-274P, EH-2024-GGI0","$49225","Blackwell Inc","Should effort yet get technology style during security important.","2025-01-09T17:23:28.746317","","Monthly","ACT-1734434608-8E9EEP","True","Ward, Santos and Lee","67812 Guerrero Fork, East Rebeccahaven, OR 79669","268","","SG-2024-FHUX, MD-2024-HSSU, SC-2024-SA2J, JS-2024-IPM9, ST-2024-OT6G, CP-2024-MSVL, KK-2024-FFT6, JC-2024-MNNZ, RM-2024-TI1F, KF-2024-UPLH, LP-2024-274P, TD-2024-HFJP, WS-2024-A2JZ, GR-2024-OBMA, EH-2024-GGI0","2025-01-06T17:23:28.746317","Number of participants, Engagement levels","Employees"
"Mean every stuff nice two oil leader.","Cloned local secured line","Community Outreach","","","Crosby and Sons","Matter form wide technology authority today before yeah least year pay scientist approach design standard determine scene model.","2025-01-10T17:23:28.746877","","Monthly","ACT-1734434608-C1TNDD","True","Griffin and Sons, Nichols-Thompson, Merritt-Gill","3457 Johnson Ports Suite 558, North Katherinestad, DE 91420","286","","BH-2024-DZSU, WD-2024-EB8U, CR-2024-Q71O, CG-2024-R5OR, AG-2024-VJE5, MC-2024-Q9K7, RB-2024-5955","2025-01-08T17:23:28.746877","Number of participants, Engagement levels","Students"
"Bar send receive response natural rise red movie rule successful.","Polarized exuding capability","Employee Engagement","RL-2024-A8DL, JC-2024-XLAT, TD-2024-HFJP, TH-2024-GX80, VT-2024-VY1N, MM-2024-PPW8","","Grant-Bradley","Activity hit person detail set heart music letter require everything finally soon according seek show society drive.","2025-01-06T17:23:28.747748","","Weekly","ACT-1734434608-NBXYIE","True","","Virtual (Online)","388","","TH-2024-GX80, MM-2024-PPW8, RL-2024-A8DL, JY-2024-C39Q, VT-2024-VY1N, JC-2024-XLAT, TD-2024-HFJP","2025-01-03T17:23:28.747748","Number of participants, Engagement levels","Partners"
"What strong probably her even second support morning work degree onto.","Grass-roots composite attitude","Social Responsibility","CS-2024-GR5Z, MM-2024-BSVD, JP-2024-2TQF, AM-2024-4EG6, MB-2024-7XMZ, JL-2024-TIJI, NH-2024-MCML, HM-2024-27VY, AF-2024-4TSP","","Tucker-Navarro","Be teacher factor top certain might police quite music thank can return address break material pretty growth prepare.","2025-01-05T17:23:28.747880","","","ACT-1734434608-LL9AMA","False","","343 Macdonald Path, South Patricia, MS 10545","269","Training materials, Equipment, Refreshments","NH-2024-MCML, AM-2024-4EG6, HM-2024-27VY, JL-2024-TIJI, AF-2024-4TSP, HB-2024-858T, EA-2024-C05S, JP-2024-2TQF, MB-2024-7XMZ, MM-2024-BSVD, CS-2024-GR5Z","2025-01-02T17:23:28.747880","Number of participants, Engagement levels","Public"
"Any natural executive product either similar.","Extended client-server policy","Product Launch","JP-2024-2TQF, MG-2024-XGKG, SR-2024-AGZY, WB-2024-2KQ2, JP-2024-JAEV, TB-2024-A3TO","$81176","Green-Miller","Grow great use situation there their common stand miss miss already last sense or.","2025-01-14T17:23:28.748214","","Weekly","ACT-1734434608-I6NGTY","True","Delgado Inc, Lopez, Lawson and Vega, Guzman Group","814 Edward Port, New Jeremy, CA 16344","107","Training materials, Equipment, Refreshments","SR-2024-AGZY, MG-2024-XGKG, JP-2024-JAEV, CS-2024-E1ZS, TB-2024-A3TO, JP-2024-2TQF, WB-2024-2KQ2","2025-01-12T17:23:28.748214","Number of participants, Engagement levels","Customers"
"Simply if peace project question simply instead with brother.","Fundamental scalable methodology","Employee Engagement","","$49004","Watts Group","Mother once learn position blue throw machine bed true.","2025-01-07T17:23:28.748939","Feedback Form","Ad Hoc","ACT-1734434608-KIXFWO","True","Malone-Price, Ruiz, Williams and Simmons, Chavez-Perez","Virtual (Online)","214","Training materials, Equipment, Refreshments","AM-2024-1GPL, DS-2024-61HD, JW-2024-1US0, MC-2024-34IO, EJ-2024-OYRN, MH-2024-P4M2, CH-2024-ZKB3, AF-2024-4TSP, BP-2024-0510, RB-2024-PKBP, WR-2024-PMNT, JR-2024-Y9U4, SS-2024-8GTM, SZ-2024-RO85, MN-2024-QS81, AB-2024-09GP, GB-2024-FBBM, DG-2024-5QAH, SD-2024-Q3S2, EL-2024-MBAV","2025-01-04T17:23:28.748939","Number of participants, Engagement levels","Partners"
"Ever believe stand behavior plan through physical single him heavy good address alone.","Versatile multimedia middleware","Community Outreach","JD-2024-NCYG, JR-2024-M381, LB-2024-ULGV, DB-2024-3B3V, AR-2024-QOVC, MC-2024-6WSG","$28659","Frazier Ltd","Music world leg without camera radio company TV deal mean discover important already job star data sound pass year.","2025-01-16T17:23:28.749651","","","ACT-1734434608-KGNZ9F","False","","251 Nicole Heights, Davidchester, MA 41148","375","","DW-2024-R1Q4, LB-2024-ULGV, AR-2024-QOVC, DB-2024-3B3V, MC-2024-6WSG, JR-2024-M381, JC-2024-XLAT, CR-2024-QNON, JD-2024-NCYG, SG-2024-RFPO","2025-01-15T17:23:28.749651","Number of participants, Engagement levels","Youth"
"Hit of strategy teacher Mr task.","Synchronized intermediate productivity","Product Launch","DH-2024-G0LX, AP-2024-PC3G, GB-2024-FBBM, DB-2024-DM37, AC-2024-QZ90, GA-2024-R0FV","$34396","Ross, Carroll and Johnson","Possible civil mouth since professor with professor wall Democrat country play easy service interesting put ready successful.","2025-01-07T17:23:28.750014","Survey","","ACT-1734434608-KP7ELT","False","","820 Paul Ports Apt. 288, Lake Jimmy, MA 34353","411","Training materials, Equipment, Refreshments","AP-2024-PC3G, AC-2024-QZ90, DB-2024-DM37, GA-2024-R0FV, GB-2024-FBBM, PK-2024-16S3, DH-2024-G0LX","2025-01-03T17:23:28.750014","Number of participants, Engagement levels","Public"
"Design could else politics hold throughout film thousand use.","Reduced demand-driven model","Product Launch","","","Carter, Arroyo and Hanson","Anything security explain prepare teacher big let sometimes low recently able usually tree friend firm low something.","2025-01-02T17:23:28.750328","","Annually","ACT-1734434608-B80VSH","True","","12505 Daniel Village, South Kimberly, PR 39757","280","","JM-2024-NTUY, JH-2024-ZVR7, KK-2024-FFT6, AK-2024-NAE0","2024-12-31T17:23:28.750328","Number of participants, Engagement levels","Employees"
"Specific need section occur statement result design traditional house main little second.","Robust value-added parallelism","Employee Engagement","JC-2024-E8TQ","","Santos, Hendricks and Black","Question green off such alone opportunity nature teach machine worry role return price decision behavior trial investment management above mind.","2024-12-26T17:23:28.750560","","","ACT-1734434608-EEJQT6","False","","Virtual (Online)","176","Training materials, Equipment, Refreshments","CS-2024-E1ZS, VN-2024-DTII, JC-2024-E8TQ","2024-12-23T17:23:28.750560","Number of participants, Engagement levels","Youth"
"Buy guess begin raise bill husband.","Synergistic systematic infrastructure","Community Outreach","JB-2024-R609, WB-2024-C1BT","","Walker-Wilcox","Place point social last section meeting customer argue seem red commercial goal police here matter door find word.","2025-01-11T17:23:28.750625","","Monthly","ACT-1734434608-NGEMM5","True","Buckley and Sons","271 Henry Walk Apt. 747, New Katherine, IL 70100","475","Training materials, Equipment, Refreshments","WB-2024-C1BT, JB-2024-R609","2025-01-09T17:23:28.750625","Number of participants, Engagement levels","Customers"
"Share now detail remember day know painting cell opportunity.","Multi-channeled mobile paradigm","Employee Engagement","SB-2024-K0U2, DH-2024-G0LX, CB-2024-Y6F9, MM-2024-PPW8, DN-2024-2H3R, AC-2024-GNFA, MB-2024-7XMZ","","Wilson Ltd","Live local effect everybody however result another eat people letter other.","2024-12-30T17:23:28.751218","","Annually","ACT-1734434608-471X8H","True","Howell-Hoover, Francis Ltd","Virtual (Online)","406","","AC-2024-GNFA, DN-2024-2H3R, JB-2024-J6LA, SB-2024-K0U2, MM-2024-0DDH, LH-2024-6IUD, KT-2024-DKTL, JM-2024-NTUY, CB-2024-Y6F9, MM-2024-05ZW, MS-2024-4ASJ, WS-2024-A2JZ, DH-2024-G0LX, CC-2024-XMNX, MB-2024-7XMZ, AW-2024-SGGR, GH-2024-CL8S, MM-2024-PPW8, KM-2024-02ER","2024-12-26T17:23:28.751218","Number of participants, Engagement levels","Customers"
"More cover around sign order school maybe entire society center.","Balanced dedicated synergy","Social Responsibility","","","Curry, Harrington and Lane","President center right card ever article recognize all experience at goal marriage own else history future future able.","2024-12-31T17:23:28.751730","Survey","","ACT-1734434608-Z2MTBK","False","Shaw-Ochoa, Bowers-Foster, Reid Ltd","Virtual (Online)","446","","MP-2024-5QLN, AS-2024-P5AW, SM-2024-DAEF, JG-2024-I3VC","2024-12-27T17:23:28.751730","Number of participants, Engagement levels","Volunteers"
"Population drop long notice parent case sell paper shake.","Switchable analyzing superstructure","Recruitment","TG-2024-74DJ, CH-2024-1BJ6, KJ-2024-UFVQ, JM-2024-NTUY, JP-2024-JAEV, VF-2024-U53D, JN-2024-BT5H, JR-2024-M381, SL-2024-LBA0, SH-2024-CZAE, LH-2024-IRNW, SG-2024-2QZ9, SB-2024-0X44, WG-2024-JQEA","$34250","Walters LLC","Which not trouble play what practice family particularly prepare travel know color power way news career population.","2024-12-30T17:23:28.752246","Feedback Form","","ACT-1734434608-73QO5V","False","","92642 Matthew Plains Suite 839, Samuelburgh, CA 00560","454","","SG-2024-2QZ9, SH-2024-CZAE, JN-2024-BT5H, TG-2024-74DJ, LH-2024-IRNW, SB-2024-0X44, JB-2024-J6LA, SL-2024-LBA0, WG-2024-JQEA, JR-2024-M381, VF-2024-U53D, CH-2024-1BJ6, JM-2024-NTUY, JP-2024-JAEV, KJ-2024-UFVQ","2024-12-28T17:23:28.752246","Number of participants, Engagement levels","Volunteers"
"Soldier term produce billion want raise floor.","Compatible discrete moderator","Social Responsibility","AF-2024-OR8C, AD-2024-KSDG, RN-2024-4TPG, MR-2024-Y2HT, HB-2024-858T, CB-2024-I39A, MF-2024-ONDU, JL-2024-CDZJ, ML-2024-SVVG","$59570","Morales, Anderson and Burnett","Include report among yes interview accept town successful end away.","2025-01-03T17:23:28.752576","","","ACT-1734434608-HZGI2Q","False","Dixon, Barrett and Li, Brown-Martin","04241 Gonzalez Glen Suite 865, Lewisbury, VT 15310","390","","KK-2024-FFT6, ST-2024-GO2P, AF-2024-OR8C, CF-2024-CNE1, MF-2024-ONDU, AD-2024-KSDG, CB-2024-I39A, ML-2024-SVVG, DP-2024-U098, JL-2024-CDZJ, WH-2024-Y3CV, RN-2024-4TPG, MR-2024-Y2HT, HB-2024-858T","2024-12-30T17:23:28.752576","Number of participants, Engagement levels","Public"
"Measure us serve forward rock me.","Switchable systemic middleware","Community Outreach","WT-2024-4OTT, SB-2024-MWFB, WR-2024-RY8C, JC-2024-XLAT, MM-2024-7R67","$96307","Kelly Group","Consider exist all collection mouth Mrs deal child almost maintain large create PM.","2025-01-03T17:23:28.753564","Survey","","ACT-1734434608-DZK0PB","False","","Virtual (Online)","362","","WR-2024-RY8C, WT-2024-4OTT, JC-2024-XLAT, SB-2024-MWFB, MM-2024-7R67","2024-12-29T17:23:28.753564","Number of participants, Engagement levels","Youth"
"Go worker mouth while agree agency food high official deal society question.","Expanded scalable moratorium","Product Launch","KF-2024-UPLH, AG-2024-055O, SL-2024-DERE, BB-2024-YF1M, MG-2024-LTUK, TG-2024-74DJ, MP-2024-5QLN","$64895","Anderson-Walker","Suggest fast foot first usually thus attack suffer worker decade.","2024-12-29T17:23:28.753636","","","ACT-1734434608-U131RJ","False","","71712 Alvarado River, North Michael, MP 71294","159","","AS-2024-DCMT, TN-2024-SI4I, KC-2024-7Z9R, MG-2024-LTUK, SL-2024-DERE, VS-2024-IFRK, BB-2024-YF1M, AG-2024-055O, MP-2024-5QLN, DP-2024-YNUL, TG-2024-74DJ, JS-2024-IPM9, DN-2024-YBSQ, SM-2024-CF9F, KF-2024-UPLH, WS-2024-A2JZ, JC-2024-42NF","2024-12-26T17:23:28.753636","Number of participants, Engagement levels","Youth"
"Gun almost window energy war you sport talk again per rock away technology.","Devolved 6thgeneration strategy","Networking","SF-2024-WRA6, LP-2024-U82X, LY-2024-3KNY, MS-2024-0WEQ, AH-2024-BT3Q, RG-2024-GVUI","$51097","Flores-Green","Movement decision participant police clearly white than eye bring section before.","2025-01-05T17:23:28.753930","Feedback Form","Weekly","ACT-1734434608-F8M7RM","True","Tucker Group, Kelley-Brown, Levine Ltd","73834 Samantha View, Lake Hectorshire, ME 72490","189","","RG-2024-GVUI, LM-2024-1EHO, MF-2024-848N, CB-2024-I39A, MS-2024-0WEQ, AH-2024-BT3Q, TP-2024-5PGK, SF-2024-WRA6, LP-2024-U82X, LY-2024-3KNY, JT-2024-KR2N","2024-12-31T17:23:28.753930","Number of participants, Engagement levels","Public"
"Travel finish contain despite purpose form practice difficult identify partner when impact pull.","Open-architected bandwidth-monitored focus group","Community Outreach","CG-2024-R5OR","","Morales, Stephens and Macdonald","Agency wide wall large prepare again run per area air think structure south result.","2025-01-02T17:23:28.754507","Survey","","ACT-1734434608-BILOS9","False","","Virtual (Online)","105","Training materials, Equipment, Refreshments","ML-2024-SVVG, SS-2024-8GTM, MD-2024-HSSU, CG-2024-R5OR","2024-12-31T17:23:28.754507","Number of participants, Engagement levels","Youth"
"Today attack discover though also employee choice involve authority material appear.","Expanded multi-state attitude","Employee Engagement","AM-2024-4EG6, JB-2024-HGD3, EH-2024-WHQJ, SW-2024-R8I9, LH-2024-IRNW, LS-2024-CGQQ","$63121","Wood Inc","Difference former high book image team me down music.","2024-12-29T17:23:28.754565","Feedback Form","","ACT-1734434608-HEP9Y3","False","","Virtual (Online)","125","","LB-2024-ULGV, AM-2024-4EG6, JR-2024-Y9U4, DW-2024-R1Q4, SW-2024-R8I9, EH-2024-WHQJ, JB-2024-HGD3, JB-2024-RH9M, AS-2024-P5AW, LS-2024-CGQQ, JS-2024-40WY, MO-2024-NQKE, LH-2024-IRNW, LP-2024-274P","2024-12-26T17:23:28.754565","Number of participants, Engagement levels","Volunteers"
"Result evening enough tough own white half ok third step assume least.","Operative context-sensitive superstructure","Community Outreach","","$66576","Reed-Austin","Street give born travel partner mission five certain along.","2025-01-04T17:23:28.754629","","","ACT-1734434608-8I7CJ8","False","","590 Kelly Street, Lake Jamesborough, MN 27678","369","","VH-2024-65IC","2025-01-02T17:23:28.754629","Number of participants, Engagement levels","Volunteers"
"Gas feeling too wall second series various their ok change again customer magazine.","Expanded motivating infrastructure","Training Session","","","Lowe-Landry","Up form second wear poor administration involve here break.","2025-01-07T17:23:28.754919","Feedback Form","Monthly","ACT-1734434608-JLF6MY","True","","Virtual (Online)","143","Training materials, Equipment, Refreshments","BT-2024-RGBH, JG-2024-WDAR, VB-2024-KTI1, EJ-2024-OYRN, MC-2024-YF3L, JG-2024-3HFD","2025-01-04T17:23:28.754919","Number of participants, Engagement levels","Public"
"Most best force born Mrs girl without.","Reduced optimizing hardware","Workshop","DH-2024-G0LX, SH-2024-CZAE, MR-2024-0JKL, MC-2024-Q9K7, AM-2024-1GPL, JY-2024-C39Q, JP-2024-6KQM, JB-2024-5NLJ, CB-2024-SUPU, DR-2024-MYGB, SL-2024-DERE, WG-2024-UK2P, LH-2024-PU3N, CT-2024-X52Q, DC-2024-1RDJ, AO-2024-W5XF","$47888","Ferrell Group","Reach indicate student network each data detail away card cost discover join sense.","2024-12-31T17:23:28.754996","","","ACT-1734434608-QCZENS","False","Ward, Wilson and Evans, Johnson, Mullins and Lopez","Virtual (Online)","279","Training materials, Equipment, Refreshments","JP-2024-6KQM, SH-2024-CZAE, AM-2024-1GPL, DC-2024-1RDJ, CB-2024-SUPU, WG-2024-UK2P, JY-2024-C39Q, AO-2024-W5XF, DH-2024-G0LX, LH-2024-PU3N, JB-2024-5NLJ, MC-2024-Q9K7, MS-2024-8TDX, DR-2024-MYGB, MR-2024-0JKL, AH-2024-4ZZH, JH-2024-ZVR7, SL-2024-DERE, CT-2024-X52Q","2024-12-26T17:23:28.754996","Number of participants, Engagement levels","Youth"
"Physical sit hope during push building.","Cloned homogeneous analyzer","Workshop","VS-2024-IFRK","$57006","Blackwell Inc","Land resource quality many likely investment chance traditional rise.","2024-12-24T17:23:28.755543","Survey","","ACT-1734434608-V574PA","False","","8187 Wood Port, Port Davidport, CA 66015","338","Training materials, Equipment, Refreshments","MG-2024-QAX8, MB-2024-A9ZU, VS-2024-IFRK, JP-2024-2TQF, RG-2024-25UT, KT-2024-DKTL","2024-12-22T17:23:28.755543","Number of participants, Engagement levels","Youth"
"Create word give air teach table so allow catch low behind notice.","Total full-range challenge","Social Responsibility","DM-2024-4TNI, DH-2024-KVX7, CR-2024-5Y26, DC-2024-1RDJ, CP-2024-XGY3, CB-2024-Y6F9","$80744","Tucker-Brown","Ten church billion improve such generation hard fire officer herself town along hold low main realize.","2025-01-07T17:23:28.755943","","","ACT-1734434608-X94KAN","False","","Virtual (Online)","346","Training materials, Equipment, Refreshments","JG-2024-310A, CR-2024-5Y26, DC-2024-1RDJ, SH-2024-WBVO, BC-2024-NNZA, CG-2024-HXRR, DM-2024-4TNI, RB-2024-PKBP, SL-2024-LBA0, WB-2024-ODWY, CP-2024-XGY3, ES-2024-5BEZ, DH-2024-KVX7, CB-2024-Y6F9, AG-2024-SQFB, CB-2024-3HV3, DR-2024-MYGB, SB-2024-XEST","2025-01-03T17:23:28.755943","Number of participants, Engagement levels","Public"
"Protect spend white serve I difficult event collection poor.","Upgradable reciprocal superstructure","Workshop","SH-2024-99BT, ER-2024-G6U2, VH-2024-65IC, AC-2024-ECLV, AB-2024-09GP","","Simmons PLC","Moment well else leader recent much attention my southern view beautiful bring practice food answer crime carry.","2024-12-31T17:23:28.756022","Survey","Monthly","ACT-1734434608-BJ60FM","True","","Virtual (Online)","487","Training materials, Equipment, Refreshments","TC-2024-DBY9, AC-2024-GNFA, VM-2024-QWFY, SH-2024-99BT, ER-2024-G6U2, JF-2024-WQ71, MF-2024-ONDU, MG-2024-XGKG, JT-2024-UMLB, AC-2024-ECLV, AP-2024-2ZBO, VH-2024-65IC, AB-2024-09GP","2024-12-29T17:23:28.756022","Number of participants, Engagement levels","Volunteers"
"Site pressure military method next sing behind woman TV west once.","Digitized demand-driven methodology","Social Responsibility","JF-2024-ZOSM, SP-2024-JO5D, LY-2024-3KNY, DF-2024-XCW2, MB-2024-7XMZ, TM-2024-6DP9, CB-2024-I39A","$3157","Avery, Valencia and Preston","Skill lay mission only most building piece manager can.","2025-01-09T17:23:28.756080","","","ACT-1734434608-4TY04W","False","Sweeney-Perez","Virtual (Online)","463","","JF-2024-ZOSM, TM-2024-6DP9, CB-2024-I39A, SP-2024-JO5D, MB-2024-7XMZ, LY-2024-3KNY, DF-2024-XCW2","2025-01-04T17:23:28.756080","Number of participants, Engagement levels","Students"
"Gun PM two think thousand table choice foot unit second eye realize.","Diverse intermediate access","Employee Engagement","WB-2024-ODWY, RG-2024-GVUI, SM-2024-2SG7, AO-2024-W5XF, AA-2024-CPO2, EZ-2024-EN0N, VT-2024-X9JD, AP-2024-2ZBO","","Curtis-Walters","Sport almost wall young wish fine more writer expert finally walk receive here chair those.","2024-12-31T17:23:28.756345","Feedback Form","","ACT-1734434608-E0RZW1","False","","7098 Elaine Prairie, Meghanchester, PA 91166","173","","SB-2024-L9VQ, EZ-2024-EN0N, AW-2024-SGGR, MP-2024-EW6W, SH-2024-99BT, AO-2024-W5XF, LB-2024-1K0W, RG-2024-GVUI, SM-2024-2SG7, VT-2024-X9JD, AA-2024-CPO2, SF-2024-WRA6, AP-2024-2ZBO, KG-2024-IWWZ, EJ-2024-INWD, WB-2024-ODWY","2024-12-27T17:23:28.756345","Number of participants, Engagement levels","Employees"
